n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
10,5,2,1,0.8461538461538461,0.8461538461538461
20,5,2,1,0.7692307692307693,0.7857142857142857
30,5,2,1,0.7692307692307693,0.7857142857142857
10,5,5,2,0.7692307692307693,0.7692307692307693
30,5,5,1,0.7307692307692307,0.7586206896551724
30,5,2,2,0.7307692307692307,0.7586206896551724
30,5,5,2,0.7307692307692307,0.7586206896551724
10,5,2,2,0.7307692307692307,0.72
20,5,2,2,0.6923076923076923,0.7142857142857143
10,5,5,1,0.6923076923076923,0.7142857142857143
20,5,5,1,0.6923076923076923,0.7142857142857143
20,5,5,2,0.6538461538461539,0.6896551724137931
30,5,2,4,0.6538461538461539,0.6666666666666666
30,5,5,4,0.6538461538461539,0.6666666666666666
10,5,2,4,0.6538461538461539,0.64
10,5,5,4,0.6538461538461539,0.64
30,3,10,2,0.5769230769230769,0.6206896551724138
20,5,10,2,0.5769230769230769,0.6206896551724138
10,5,10,2,0.5769230769230769,0.6206896551724138
10,3,10,2,0.5769230769230769,0.6206896551724138
30,5,10,2,0.5769230769230769,0.6206896551724138
30,3,5,2,0.5769230769230769,0.6206896551724138
10,3,5,2,0.5769230769230769,0.6206896551724138
10,3,2,1,0.5769230769230769,0.6206896551724138
30,3,2,2,0.5769230769230769,0.6206896551724138
10,5,10,1,0.5769230769230769,0.6206896551724138
30,3,2,1,0.5769230769230769,0.6206896551724138
10,3,5,1,0.5769230769230769,0.6206896551724138
30,3,5,1,0.5769230769230769,0.6206896551724138
10,3,10,1,0.5769230769230769,0.6206896551724138
30,5,10,4,0.5769230769230769,0.6206896551724138
20,5,10,1,0.5769230769230769,0.6206896551724138
30,3,10,1,0.5769230769230769,0.6206896551724138
30,5,10,1,0.5769230769230769,0.6206896551724138
10,3,2,2,0.5769230769230769,0.6206896551724138
20,5,2,4,0.5769230769230769,0.5925925925925926
20,5,5,4,0.5769230769230769,0.5925925925925926
20,3,10,2,0.5384615384615384,0.5714285714285714
20,3,10,4,0.5384615384615384,0.5714285714285714
20,3,2,1,0.5384615384615384,0.5714285714285714
20,3,5,4,0.5384615384615384,0.5714285714285714
20,3,5,2,0.5384615384615384,0.5714285714285714
20,3,10,1,0.5384615384615384,0.5714285714285714
20,3,2,2,0.5384615384615384,0.5714285714285714
20,3,2,4,0.5384615384615384,0.5714285714285714
20,3,5,1,0.5384615384615384,0.5714285714285714
30,3,2,4,0.5,0.5185185185185185
30,3,5,4,0.5,0.5185185185185185
10,3,10,4,0.5,0.5185185185185185
10,5,10,4,0.5,0.5185185185185185
10,3,2,4,0.5,0.5185185185185185
20,5,10,4,0.5,0.5185185185185185
30,3,10,4,0.5,0.5185185185185185
10,3,5,4,0.5,0.5185185185185185
