n_estimators,max_depth,learning_rate,accuracy,f1_score
30,3,0.1,0.8333333333333334,0.7586206896551724
10,5,0.1,0.8095238095238095,0.7333333333333333
30,5,0.01,0.8095238095238095,0.7333333333333333
20,5,0.1,0.8095238095238095,0.7142857142857143
30,5,0.05,0.8095238095238095,0.7142857142857143
30,5,0.1,0.7857142857142857,0.7096774193548387
10,5,0.01,0.7857142857142857,0.6896551724137931
10,3,0.01,0.7857142857142857,0.6896551724137931
10,3,0.05,0.7857142857142857,0.6896551724137931
30,3,0.01,0.7857142857142857,0.6896551724137931
20,5,0.01,0.7857142857142857,0.6896551724137931
20,3,0.01,0.7857142857142857,0.6896551724137931
10,5,0.05,0.7619047619047619,0.6666666666666666
20,3,0.1,0.7857142857142857,0.6666666666666666
20,5,0.05,0.7619047619047619,0.6666666666666666
30,3,0.05,0.7619047619047619,0.6428571428571429
20,3,0.05,0.7380952380952381,0.6206896551724138
10,3,0.1,0.7380952380952381,0.6206896551724138
