learning_rate,epochs,context_size,accuracy,f1_score
0.1,30.0,5.0,0.9545454545454546,0.9565217391304348
0.05,10.0,3.0,0.9545454545454546,0.9565217391304348
0.001,10.0,3.0,0.9090909090909091,0.9166666666666666
0.001,30.0,3.0,0.9090909090909091,0.9166666666666666
0.1,10.0,5.0,0.9090909090909091,0.9166666666666666
0.05,50.0,5.0,0.9090909090909091,0.9166666666666666
0.05,30.0,5.0,0.9090909090909091,0.9166666666666666
0.001,50.0,5.0,0.9090909090909091,0.9166666666666666
0.001,30.0,5.0,0.9090909090909091,0.9166666666666666
0.001,10.0,5.0,0.9090909090909091,0.9166666666666666
0.05,50.0,3.0,0.9090909090909091,0.9166666666666666
0.05,30.0,3.0,0.9090909090909091,0.9166666666666666
0.001,50.0,3.0,0.9090909090909091,0.9166666666666666
0.1,50.0,3.0,0.8636363636363636,0.88
0.1,30.0,3.0,0.8636363636363636,0.88
0.05,10.0,5.0,0.8636363636363636,0.88
0.1,50.0,5.0,0.8636363636363636,0.88
0.1,10.0,3.0,0.5454545454545454,0.16666666666666666
