learning_rate,epochs,context_size,accuracy,f1_score
0.001,10.0,3.0,0.8888888888888888,0.5
0.001,30.0,3.0,0.8055555555555556,0.36363636363636365
0.001,30.0,5.0,0.8333333333333334,0.25
0.001,10.0,5.0,0.8333333333333334,0.25
0.001,50.0,5.0,0.8055555555555556,0.2222222222222222
0.001,50.0,3.0,0.7777777777777778,0.2
0.05,30.0,3.0,0.8888888888888888,0.0
0.05,50.0,3.0,0.9166666666666666,0.0
0.1,10.0,3.0,0.8888888888888888,0.0
0.1,30.0,3.0,0.9166666666666666,0.0
0.1,50.0,3.0,0.9166666666666666,0.0
0.05,10.0,3.0,0.9166666666666666,0.0
0.05,10.0,5.0,0.9166666666666666,0.0
0.05,30.0,5.0,0.9166666666666666,0.0
0.05,50.0,5.0,0.9166666666666666,0.0
0.1,10.0,5.0,0.9166666666666666,0.0
0.1,30.0,5.0,0.9166666666666666,0.0
0.1,50.0,5.0,0.9166666666666666,0.0
